yr,y,fs
0.0,0.0,10.0
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
5.0,0.0,
5.0,2.341,
5.0,4.9365,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
