yr,y,fs
0.0,0.0,10.0
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
4.7,0.0,
4.7,2.2385,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
