yr,y,fs
0.0,0.0,10.0
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
4.7,0.0,
4.7,1.7595,
4.7,4.7165,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
4.7,5.0,
