u,y,fs
0,0,500
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
5,0,
5,0.4349951124,
5,1.500488759,
5,2.580645161,
5,3.470185728,
5,3.846529814,
5,3.958944282,
5,4.022482893,
5,4.056695992,
5,4.08113392,
5,4.095796676,
5,4.046920821,
5,4.046920821,
5,4.071358749,
5,4.03714565,
5,4.046920821,
5,4.056695992,
5,4.03714565,
5,4.061583578,
5,4.066471163,
5,4.046920821,
5,4.066471163,
5,4.066471163,
5,4.095796676,
5,4.095796676,
5,4.105571848,
5,4.110459433,
5,4.130009775,
5,4.120234604,
5,4.139784946,
5,4.130009775,
5,4.169110459,
5,4.173998045,
5,4.17888563,
5,4.193548387,
5,4.183773216,
5,4.193548387,
5,4.17888563,
5,4.183773216,
5,4.198435973,
5,4.213098729,
5,4.198435973,
5,4.208211144,
5,4.188660802,
5,4.183773216,
5,4.188660802,
5,4.203323558,
5,4.208211144,
5,4.193548387,
5,4.188660802,
5,4.203323558,
5,4.173998045,
5,4.17888563,
5,4.164222874,
5,4.154447703,
5,4.164222874,
5,4.164222874,
5,4.173998045,
5,4.173998045,
5,4.169110459,
5,4.164222874,
5,4.159335288,
5,4.173998045,
5,4.173998045,
5,4.164222874,
5,4.188660802,
5,4.17888563,
5,4.169110459,
5,4.154447703,
5,4.17888563,
5,4.169110459,
5,4.154447703,
5,4.17888563,
5,4.169110459,
5,4.159335288,
5,4.149560117,
5,4.154447703,
5,4.149560117,
5,4.139784946,
5,4.139784946,
5,4.149560117,
5,4.144672532,
5,4.149560117,
5,4.120234604,
5,4.130009775,
5,4.110459433,
5,4.12512219,
5,4.130009775,
5,4.130009775,
5,4.130009775,
5,4.134897361,
5,4.120234604,
5,4.139784946,
5,4.144672532,
5,4.120234604,
5,4.134897361,
5,4.105571848,
5,4.095796676,
5,4.076246334,
5,4.071358749,
5,4.071358749,
5,4.061583578,
5,4.032258065,
5,4.007820137,
5,3.998044966,
5,4.002932551,
5,4.007820137,
5,4.007820137,
5,4.03714565,
5,4.042033236,
5,4.051808407,
5,4.022482893,
5,4.007820137,
5,4.012707722,
5,4.027370479,
5,4.042033236,
5,4.061583578,
5,4.042033236,
5,4.066471163,
5,4.066471163,
5,4.071358749,
5,4.061583578,
5,4.056695992,
5,4.076246334,
5,4.056695992,
5,4.061583578,
5,4.076246334,
5,4.061583578,
5,4.061583578,
5,4.076246334,
5,4.061583578,
5,4.066471163,
5,4.066471163,
5,4.061583578,
5,4.061583578,
5,4.090909091,
5,4.076246334,
5,4.066471163,
5,4.08113392,
5,4.066471163,
5,4.086021505,
5,4.071358749,
5,4.071358749,
5,4.071358749,
5,4.076246334,
5,4.076246334,
5,4.076246334,
5,4.066471163,
5,4.086021505,
5,4.071358749,
0,4.071358749,
0,3.826979472,
0,3.284457478,
0,2.795698925,
0,2.2971652,
0,1.842619746,
0,1.353861193,
0,1.011730205,
0,0.4936461388,
0,0.1221896383,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
