yr,y,fs
0.0,0.0,10.0
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
4.888948964627688,0.0,
4.888948964627688,2.043,
4.888948964627688,4.2325,
4.888948964627688,4.946,
4.888948964627688,5.0,
4.888948964627688,5.0,
4.888948964627688,5.0,
4.888948964627688,5.0,
4.888948964627688,5.0,
4.888948964627688,5.0,
0.0,5.0,
0.0,4.1545,
0.0,3.2015,
0.0,2.3215,
0.0,1.3785,
0.0,0.6745,
0.0,0.0245,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.07580641680326168,0.0,
0.07580641680326168,0.0,
0.07580641680326168,0.0,
0.07580641680326168,0.0,
0.07580641680326168,0.0,
0.07580641680326168,0.0,
0.07580641680326168,0.0,
0.07580641680326168,0.0,
0.07580641680326168,0.0,
0.07580641680326168,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
2.628954344662415,0.0,
2.628954344662415,1.877,
2.628954344662415,2.923,
2.628954344662415,3.2600000000000002,
2.628954344662415,3.402,
2.628954344662415,3.4799999999999995,
2.628954344662415,3.519,
2.628954344662415,3.563,
2.628954344662415,3.573,
2.628954344662415,3.5775,
0.0,3.573,
0.0,2.7565,
0.0,1.8815000000000002,
0.0,1.1435,
0.0,0.45949999999999996,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
0.0,0.0,
5.0,0.0,
5.0,1.9455,
5.0,4.2035,
5.0,4.9755,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
5.0,5.0,
0.0,5.0,
0.0,4.213,
0.0,3.27,
0.0,2.3805,
0.0,1.3880000000000001,
0.0,0.772,
0.0,0.054000000000000006,
0.0,0.0,
0.0,0.0,
0.0,0.0,
3.86234365998566,0.0,
3.86234365998566,2.1165000000000003,
3.86234365998566,3.729,
3.86234365998566,4.081,
3.86234365998566,4.252000000000001,
3.86234365998566,4.2915,
3.86234365998566,4.301,
3.86234365998566,4.311,
3.86234365998566,4.3255,
3.86234365998566,4.34,
