yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,5.0,0.0,
4.0,0.0,1.6470000000000002,
4.0,0.0,2.483,
4.0,3.9088013000000004,1.7935,
4.0,0.04745035088000171,2.8739999999999997,
4.0,2.33176819084929,2.5415,
4.0,3.0693594483058986,2.5075,
4.0,2.230434207602113,2.859,
4.0,2.7749173400392735,2.879,
4.0,2.8774401506477396,2.9765,
4.0,2.9755998261161523,3.0695,
4.0,3.155839967972522,3.133,
4.0,3.148959697502648,3.2305,
4.0,3.2095997468915245,3.3040000000000003,
4.0,3.5700688438163786,3.2990000000000004,
4.0,3.4833088650754145,3.392,
4.0,3.530041208404879,3.4505000000000003,
4.0,3.623661636833444,3.4894999999999996,
4.0,3.819447471518437,3.4995,
4.0,3.79061486595958,3.558,
4.0,3.8737303651150183,3.5875000000000004,
4.0,3.977804975429481,3.607,
4.0,3.9411041215724207,3.6559999999999997,
4.0,4.146260354448821,3.646,
4.0,4.10388096105759,3.69,
4.0,4.247405379826946,3.69,
4.0,4.208178637335008,3.729,
4.0,4.265944376470933,3.744,
4.0,4.268178236860335,3.7685000000000004,
4.0,4.283223404775375,3.7880000000000003,
4.0,4.479110307590057,3.7635,
4.0,4.2470779217095735,3.8369999999999997,
4.0,4.541484368201404,3.7880000000000003,
4.0,4.24915885665863,3.871,
4.0,4.53007630673861,3.822,
4.0,4.391379079310217,3.866,
4.0,4.598103286636187,3.832,
4.0,4.182129651539292,3.9395000000000002,
4.0,4.628906480588854,3.8465,
4.0,4.296110211936378,3.9295,
4.0,4.634093298978198,3.8609999999999998,
4.0,4.214092609265881,3.9639999999999995,
4.0,4.732926764988595,3.8514999999999997,
4.0,4.1154651229806944,3.9979999999999998,
4.0,4.608847851828167,3.8905000000000003,
4.0,4.442594835651452,3.9295,
4.0,4.7244645924568704,3.871,
4.0,4.134627148923328,4.0125,
4.0,4.81099133676718,3.8609999999999998,
4.0,3.96441484646336,4.0565,
0.0,0.0,3.866,
0.0,2.0112878241356733,3.167,
0.0,1.8610548768750312,2.8055000000000003,
0.0,1.1871234534494364,2.6295,
0.0,1.7329772239852876,2.2045,
0.0,0.6877808070697444,2.175,
0.0,1.4297107895070316,1.7645,
0.0,0.7468262900156619,1.701,
0.0,1.4286182798909746,1.3539999999999999,
0.0,0.21433945631740323,1.4615,
0.0,1.315929925566295,1.0555,
0.0,0.07716553746790826,1.1975,
0.0,1.547943724964257,0.738,
0.0,0.0,1.212,
0.0,1.0884165084785946,0.8555,
0.0,0.25846327868867325,0.9285,
0.0,1.3041695758464598,0.5915,
0.0,0.0,1.002,
0.0,1.2383840283252658,0.6305,
0.0,0.0,0.9825,
0.0,1.6615852792392025,0.513,
0.0,0.0,1.1535,
0.0,1.154817558168454,0.7965,
0.0,0.0,1.0265,
0.0,1.7838149058412283,0.518,
0.0,0.0,1.266,
0.0,1.5074475272240684,0.8210000000000001,
0.0,0.0,1.315,
0.0,1.4271269131740174,0.8699999999999999,
0.0,0.0,1.09,
0.0,1.1593097363184799,0.7184999999999999,
0.0,0.0,0.9335,
0.0,1.3774540474667174,0.528,
0.0,0.0,1.095,
0.0,2.0994509326900648,0.523,
0.0,0.0,1.5395,
0.0,1.1996496355962087,1.1484999999999999,
0.0,0.727469283758853,1.1045,
0.0,0.6560664496231337,0.997,
0.0,1.0415573731228749,0.792,
0.0,0.1359614859865141,0.8995,
0.0,1.6531899953497584,0.45949999999999996,
0.0,0.0,1.1435,
0.0,1.0812327726147604,0.8065,
0.0,0.0,0.9825,
0.0,2.110807096722029,0.40099999999999997,
0.0,0.0,1.525,
0.0,0.9739109940829143,1.1925,
0.0,1.0939078878154562,1.0115,
0.0,0.23930863964992996,1.085,
5.0,5.0,0.7675,
5.0,0.0,2.2925,
5.0,0.0561220000000006,2.6734999999999998,
5.0,4.390871367200001,1.955,
5.0,0.2416709648347212,3.1915,
5.0,2.636557207383199,2.918,
5.0,4.071023754723236,2.7955,
5.0,2.6894851162287714,3.343,
5.0,3.8959677150493235,3.2795,
5.0,3.807428500412694,3.4799999999999995,
5.0,4.2739709902203025,3.5484999999999998,
5.0,4.457215704451934,3.6654999999999998,
5.0,4.595740860922948,3.7830000000000004,
5.0,4.614417729500879,3.915,
5.0,5.0,3.949,
5.0,4.509961276981751,4.1739999999999995,
5.0,5.0,4.0125,
